Dimen	SC2_calls	Seed1	Seed2	"[lb,ub]"	REF-LU(A)_s	CRU_s	ROU_s	Speedup(REF-LU/CRU)	Speedup(REF-LU/ROU)	Speedup(ROU/CRU)	Check
1000	10960	-11721	-11671	"[-100,100]"	1414.97	10.441	18.958	135.521	74.6371	1.81573	1
1000	0	-11754	-11699	"[-100,100]"	1420.84	10.271	18.492	138.335	76.8352	1.80041	1
1000	0	-11790	-11730	"[-100,100]"	1415.46	10.372	18.725	136.47	75.5921	1.80534	1
1000	10927	-11829	-11764	"[-100,100]"	1420.01	10.586	18.589	134.14	76.3898	1.756	1
1000	0	-11871	-11801	"[-100,100]"	1419.57	10.258	18.527	138.387	76.6219	1.8061	1
1000	11106	-11916	-11841	"[-100,100]"	1422	10.242	18.783	138.84	75.7069	1.83392	1
1000	0	-11964	-11884	"[-100,100]"	1415.74	10.235	18.524	138.323	76.4272	1.80987	1
1000	0	-12015	-11930	"[-100,100]"	1417.05	10.268	18.654	138.006	75.9648	1.81671	1
1000	0	-12069	-11979	"[-100,100]"	1415.31	10.374	18.712	136.428	75.6363	1.80374	1
1000	0	-12126	-12031	"[-100,100]"	1423.67	10.252	18.82	138.868	75.6469	1.83574	1
1000	0	-12186	-12086	"[-100,100]"	1407.73	10.428	18.535	134.996	75.95	1.77743	1
1000	32765	-12249	-12144	"[-100,100]"	1407.35	10.176	18.447	138.301	76.2915	1.81279	1
1000	32765	-12315	-12205	"[-100,100]"	1398.2	10.235	18.498	136.609	75.5864	1.80733	1
1000	0	-12384	-12269	"[-100,100]"	1399.45	10.196	18.458	137.255	75.8183	1.81032	1
1000	11010	-12456	-12336	"[-100,100]"	1404.94	10.263	18.497	136.894	75.9553	1.8023	1
1000	10979	-12531	-12406	"[-100,100]"	1405.43	10.353	18.606	135.751	75.5365	1.79716	1
1000	32766	-12609	-12479	"[-100,100]"	1407.48	10.363	18.642	135.818	75.5003	1.7989	1
1000	10992	-12690	-12555	"[-100,100]"	1416.67	10.34	18.593	137.009	76.1937	1.79816	1
1000	0	-12774	-12634	"[-100,100]"	1416.16	10.309	18.627	137.371	76.0271	1.80687	1
1000	32765	-12861	-12716	"[-100,100]"	1416.16	10.287	18.617	137.665	76.0679	1.80976	1
